0	0	0	0
0.05	-2.2857E-06	2.9308E-06	9.027E-07
0.1	-2.3069E-06	2.9093E-06	0.000000325
0.15	-2.3069E-06	2.8986E-06	-4.514E-07
0.2	-2.3175E-06	2.8019E-06	-1.3857E-06
0.25	-0.000002328	2.2437E-06	-2.3019E-06
0.3	-2.3386E-06	1.5137E-06	-3.8411E-06
0.35	-2.3175E-06	1.1057E-06	-0.000005818
0.4	-2.2222E-06	8.159E-07	-8.4043E-06
0.45	-0.000001746	-1.825E-07	-1.13426E-05
0.5	-4.233E-07	-1.5566E-06	-1.46962E-05
0.55	1.0265E-06	-2.6838E-06	-1.93541E-05
0.6	2.5609E-06	-0.00000365	-2.46303E-05
0.65	0.000004381	-0.00000438	-3.03984E-05
0.7	6.5186E-06	-6.1513E-06	-3.56474E-05
0.75	9.3228E-06	-8.1373E-06	-4.06842E-05
0.8	1.21695E-05	-9.7798E-06	-4.65785E-05
0.85	1.50479E-05	-1.04454E-05	-5.33122E-05
0.9	1.83919E-05	-0.000010585	-6.13951E-05
0.95	2.16513E-05	-1.15082E-05	-6.89318E-05
1	2.57362E-05	-1.29037E-05	-7.53672E-05
